Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1212968,1202,11826,100 AVENUE NW,N,1150,OLIVER,O-day'min Ward,736000,53.53994990978465,-113.52629261997346,POINT (-113.52629261997346 53.53994990978465),100,,,RESIDENTIAL,,
1083591,,7319,158 STREET NW,Y,4390,PATRICIA HEIGHTS,sipiwiyiniwak Ward,554500,53.50568229856558,-113.59257670294099,POINT (-113.59257670294099 53.50568229856558),100,,,RESIDENTIAL,,
1181635,,9020,MEADOWLARK ROAD NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,388000,53.52475795349382,-113.59101732302919,POINT (-113.59101732302919 53.52475795349382),100,,,RESIDENTIAL,,
1053867,,4126,38 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,308500,53.47786948984988,-113.39938720011801,POINT (-113.39938720011801 53.47786948984988),100,,,RESIDENTIAL,,
1154723,21,3221,119 STREET NW,N,5490,SWEET GRASS,Ipiihkoohkanipiaohtsi Ward,210000,53.463969140466915,-113.53755902168045,POINT (-113.53755902168045 53.463969140466915),100,,,RESIDENTIAL,,
1057785,,54,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,293500,53.478938528697384,-113.40081597111936,POINT (-113.40081597111936 53.478938528697384),100,,,RESIDENTIAL,,
1209915,,7220,183B STREET NW,N,4270,LYMBURN,sipiwiyiniwak Ward,316500,53.50643801555301,-113.6404629508914,POINT (-113.6404629508914 53.50643801555301),100,,,RESIDENTIAL,,
1291855,204,17115,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,114500,53.498984120984986,-113.61930247333459,POINT (-113.61930247333459 53.498984120984986),100,,,RESIDENTIAL,,
1027382,33,3812,20 AVENUE NW,N,6150,DALY GROVE,Sspomitapi Ward,159500,53.451763204171534,-113.40079628987434,POINT (-113.40079628987434 53.451763204171534),100,,,RESIDENTIAL,,
1115351,,19903,QUADRANT AVENUE SW,Y,4463,RIVERVIEW AREA,sipiwiyiniwak Ward,979000,53.43184896789173,-113.66543752096861,POINT (-113.66543752096861 53.43184896789173),100,,,RESIDENTIAL,,
1215854,32,1503,MILL WOODS ROAD EAST NW,N,6140,CRAWFORD PLAINS,Sspomitapi Ward,140000,53.44341912235957,-113.40261040440224,POINT (-113.40261040440224 53.44341912235957),100,,,RESIDENTIAL,,
1025907,10,12715,81 STREET NW,N,2020,BALWIN,tastawiyiniwak Ward,64500,53.58543065508136,-113.46503788755483,POINT (-113.46503788755483 53.58543065508136),100,,,RESIDENTIAL,,
1284280,306,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,173500,53.53612037305204,-113.51449232375236,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1270750,,2304,184 STREET NW,N,5130,CARTER CREST,pihêsiwin Ward,244000,53.46160956616288,-113.58393172419963,POINT (-113.58393172419963 53.46160956616288),91,9,,COMMERCIAL,COMMERCIAL,
1057959,,102,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,361500,53.478858392747526,-113.40248954429218,POINT (-113.40248954429218 53.478858392747526),100,,,RESIDENTIAL,,
1038710,205,12036,66 STREET NW,N,2550,MONTROSE,Métis Ward,55500,53.57462466870548,-113.4434273893245,POINT (-113.4434273893245 53.57462466870548),100,,,RESIDENTIAL,,
1307701,,9621,27 AVENUE NW,N,6570,PARSONS INDUSTRIAL,Karhiio Ward,12989500,53.4557817651679,-113.47760684778885,POINT (-113.47760684778885 53.4557817651679),100,,,COMMERCIAL,,
1287523,1508,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,80500,53.542161896253226,-113.53018329065722,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1119361,,11261,224 STREET NW,N,4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga Ward,552000,53.56177719275134,-113.70192570605272,POINT (-113.70192570605272 53.56177719275134),100,,,COMMERCIAL,,
1205079,30,1904,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,170500,53.45079162276295,-113.41519713427994,POINT (-113.41519713427994 53.45079162276295),100,,,RESIDENTIAL,,
1124817,,15211,86 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,411000,53.518314372635274,-113.58326354171678,POINT (-113.58326354171678 53.518314372635274),100,,,RESIDENTIAL,,
1014000,,190,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,473500,53.51080863460019,-113.61298350069255,POINT (-113.61298350069255 53.51080863460019),100,,,RESIDENTIAL,,
1097716,,9404,177 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,345000,53.63951338889562,-113.48614652587162,POINT (-113.48614652587162 53.63951338889562),100,,,RESIDENTIAL,,
1359124,,15906,100 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,293500,53.53955821491937,-113.59576243309455,POINT (-113.59576243309455 53.53955821491937),100,,,RESIDENTIAL,,
1220797,,16808,94 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,323000,53.530937921061266,-113.61340364942433,POINT (-113.61340364942433 53.530937921061266),100,,,RESIDENTIAL,,
1258953,,9126,153 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,285000,53.5257472584186,-113.58555406952453,POINT (-113.58555406952453 53.5257472584186),100,,,RESIDENTIAL,,
1221910,14,2115,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,165000,53.45106721911202,-113.52948864239029,POINT (-113.52948864239029 53.45106721911202),100,,,RESIDENTIAL,,
1208156,,7303,184 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,349000,53.50692196980311,-113.6415975387781,POINT (-113.6415975387781 53.50692196980311),100,,,RESIDENTIAL,,
1118942,,19915,111 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,4500,53.55844743104705,-113.66466256552235,POINT (-113.66466256552235 53.55844743104705),100,,,COMMERCIAL,,
1253608,,15530,91 AVENUE NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,388000,53.52518716398497,-113.5892708935082,POINT (-113.5892708935082 53.52518716398497),100,,,RESIDENTIAL,,
1061753,,2219,114 STREET NW,Y,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,226000,53.45318821847791,-113.52360360150372,POINT (-113.52360360150372 53.45318821847791),100,,,RESIDENTIAL,,
1243070,117,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,190000,53.452861531163755,-113.5330855490615,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1102516,,210,HORSEHILLS ROAD NW,N,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Dene Ward,578000,53.66868023555808,-113.35056246148096,POINT (-113.35056246148096 53.66868023555808),94,6,,RESIDENTIAL,FARMLAND,
1247303,106,1624,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,64500,53.446066561734504,-113.41424184432313,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1179167,,8329,164 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,287500,53.518348869499185,-113.60506708042637,POINT (-113.60506708042637 53.518348869499185),100,,,RESIDENTIAL,,
1060581,58,1415,62 STREET NW,N,6670,SAKAW,Karhiio Ward,142500,53.44375019658075,-113.43118122134344,POINT (-113.43118122134344 53.44375019658075),100,,,RESIDENTIAL,,
1295427,,2921,119 STREET NW,N,5470,STEINHAUER,Ipiihkoohkanipiaohtsi Ward,856000,53.461596177525145,-113.51591753359281,POINT (-113.51591753359281 53.461596177525145),100,,,COMMERCIAL,,
1054907,,4129,35 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,294500,53.47724734526903,-113.3942952405036,POINT (-113.3942952405036 53.47724734526903),100,,,RESIDENTIAL,,
1030832,,3303,138 AVENUE NW,N,2320,HAIRSINE,Dene Ward,152000,53.60004586685922,-113.39262285310896,POINT (-113.39262285310896 53.60004586685922),100,,,RESIDENTIAL,,
1243054,116,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,158500,53.452861531163755,-113.5330855490615,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1074590,,854,78 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2141000,53.51448369579743,-113.35885209185996,POINT (-113.35885209185996 53.51448369579743),100,,,COMMERCIAL,,
1161074,,8104,163 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,318500,53.51532192633094,-113.60319711139788,POINT (-113.60319711139788 53.51532192633094),100,,,RESIDENTIAL,,
1021096,,230,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,601500,53.50419201304935,-113.5971136047703,POINT (-113.5971136047703 53.50419201304935),100,,,RESIDENTIAL,,
1201813,,15632,92 AVENUE NW,N,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,399000,53.526942564024715,-113.59335042770782,POINT (-113.59335042770782 53.526942564024715),100,,,RESIDENTIAL,,
1148154,,15632,79A AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,347500,53.51304010625997,-113.59351739770325,POINT (-113.59351739770325 53.51304010625997),100,,,RESIDENTIAL,,
1182195,201,10740,UNIVERSITY AVENUE NW,N,5330,QUEEN ALEXANDRA,papastew Ward,140500,53.51362266607199,-113.50829494578787,POINT (-113.50829494578787 53.51362266607199),100,,,RESIDENTIAL,,
1028752,50,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,192000,53.44972172727261,-113.49848762659067,POINT (-113.49848762659067 53.44972172727261),100,,,RESIDENTIAL,,
1246107,402,1628,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,91000,53.446066561734504,-113.41424184432313,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1355007,111,2604,139 AVENUE NW,N,2030,BANNERMAN,Dene Ward,67000,53.60308934454517,-113.38287756965815,POINT (-113.38287756965815 53.60308934454517),100,,,RESIDENTIAL,,
1192723,,16015,87A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,354500,53.520195680558096,-113.59961776035304,POINT (-113.59961776035304 53.520195680558096),100,,,RESIDENTIAL,,
1225648,,10818,20A AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,307000,53.4518710712986,-113.50840156011499,POINT (-113.50840156011499 53.4518710712986),100,,,RESIDENTIAL,,
1033471,,18417,96A AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,286000,53.53196979665276,-113.64085028322974,POINT (-113.64085028322974 53.53196979665276),100,,,RESIDENTIAL,,
1091834,,5420,146 AVENUE NW,N,2130,CASSELMAN,Dene Ward,156000,53.609770050225286,-113.4227674575067,POINT (-113.4227674575067 53.609770050225286),100,,,RESIDENTIAL,,
1075456,,9503,49 STREET NW,N,6180,EASTGATE BUSINESS PARK,Métis Ward,5094000,53.53593360848568,-113.41337197737413,POINT (-113.41337197737413 53.53593360848568),100,,,COMMERCIAL,,
1182724,307,10330,116 STREET NW,N,1150,OLIVER,O-day'min Ward,117500,53.54533669113939,-113.52182596053272,POINT (-113.52182596053272 53.54533669113939),100,,,RESIDENTIAL,,
1122522,,2005,80 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2173000,53.51578989532564,-113.37620961922435,POINT (-113.37620961922435 53.51578989532564),100,,,COMMERCIAL,,
1279777,,9547,155 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,368500,53.532918625363585,-113.58807229265625,POINT (-113.58807229265625 53.532918625363585),100,,,RESIDENTIAL,,
1054642,,3511,41A AVENUE NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,320000,53.476934317749304,-113.3952292361866,POINT (-113.3952292361866 53.476934317749304),100,,,RESIDENTIAL,,
1024009,,,,N,6730,TERRACE HEIGHTS,Métis Ward,0,53.54068577579347,-113.44289232145253,POINT (-113.44289232145253 53.54068577579347),100,,,COMMERCIAL,,
1200773,,5411,188 STREET NW,N,4220,JAMIESON PLACE,sipiwiyiniwak Ward,261000,53.491275176405324,-113.64708835360508,POINT (-113.64708835360508 53.491275176405324),100,,,RESIDENTIAL,,
1098276,,17708,91 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,333000,53.63967049528735,-113.47996256775927,POINT (-113.47996256775927 53.63967049528735),100,,,RESIDENTIAL,,
1307859,,9713,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,237500,53.53505196595689,-113.57929076522328,POINT (-113.57929076522328 53.53505196595689),100,,,RESIDENTIAL,,
1149327,,15705,79A AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,280500,53.51261804996824,-113.594319966913,POINT (-113.594319966913 53.51261804996824),100,,,RESIDENTIAL,,
1209766,,7221,184 STREET NW,N,4270,LYMBURN,sipiwiyiniwak Ward,312500,53.50648537096333,-113.64118765664001,POINT (-113.64118765664001 53.50648537096333),100,,,RESIDENTIAL,,
1073865,,1603,70 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2348000,53.50614659874712,-113.36743650092237,POINT (-113.36743650092237 53.50614659874712),100,,,COMMERCIAL,,
1086651,1201,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,115500,53.540771906982826,-113.5321360279101,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1012095,,11938,122 STREET NW,N,3350,PRINCE CHARLES,Anirniq Ward,228000,53.57311035486171,-113.53295274526944,POINT (-113.53295274526944 53.57311035486171),100,,,RESIDENTIAL,,
1285105,1401,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,200500,53.53612037305204,-113.51449232375236,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1191881,,8807,160 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,335000,53.52302752877907,-113.59819276271199,POINT (-113.59819276271199 53.52302752877907),100,,,RESIDENTIAL,,
1297472,,9617,152 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,321000,53.53364235570965,-113.58280461570331,POINT (-113.58280461570331 53.53364235570965),100,,,RESIDENTIAL,,
1108539,,,,N,3150,CUMBERLAND,Anirniq Ward,145500,53.61427702104238,-113.54751077498673,POINT (-113.54751077498673 53.61427702104238),100,,,COMMERCIAL,,
1053974,,4204,38 STREET NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,284500,53.47891370593659,-113.39928952181278,POINT (-113.39928952181278 53.47891370593659),100,,,RESIDENTIAL,,
1274521,,11750,181 STREET NW,N,4130,EDMISTON INDUSTRIAL,Nakota Isga Ward,3811000,53.568623591317824,-113.63470315369217,POINT (-113.63470315369217 53.568623591317824),100,,,COMMERCIAL,,
1247790,,13735,119 AVENUE NW,Y,3170,DOVERCOURT,Anirniq Ward,408000,53.57126924565958,-113.56021840779223,POINT (-113.56021840779223 53.57126924565958),100,,,RESIDENTIAL,,
1264951,,9039,150 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,342500,53.52435194103103,-113.57930208218937,POINT (-113.57930208218937 53.52435194103103),100,,,RESIDENTIAL,,
1069459,,10924,5 AVENUE SW,Y,5451,RICHFORD,Ipiihkoohkanipiaohtsi Ward,709000,53.428720863559974,-113.51321549647315,POINT (-113.51321549647315 53.428720863559974),100,,,RESIDENTIAL,,
1143262,,8402,156 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,321500,53.51726105854541,-113.59073140226333,POINT (-113.59073140226333 53.51726105854541),100,,,RESIDENTIAL,,
1086834,1505,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,119000,53.540771906982826,-113.5321360279101,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1281641,201,1945,105 STREET NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,80000,53.44909954229303,-113.49950518146967,POINT (-113.49950518146967 53.44909954229303),100,,,RESIDENTIAL,,
